Reduction order,Eigenvalue reassignment,Error,Runtime
133.0,2.0,1.511947355874677,3.7204225063323975
134.0,2.0,4.109469200763781,3.725623607635498
135.0,2.0,8.593888149760204,3.271754503250122
136.0,2.0,36.41295163863482,3.7142388820648193
137.0,2.0,5.712997374275353,3.6940510272979736
138.0,2.0,8.140226675966327,3.9021315574645996
139.0,2.0,2.6888076281334032,4.2793707847595215
140.0,2.0,15.180102276551404,1.7081356048583984
141.0,2.0,4.7674555523748126,3.9712166786193848
142.0,2.0,,1.785919189453125
143.0,2.0,1.5523398405755746,3.9349796772003174
144.0,2.0,3.167309758031271,4.253695726394653
145.0,2.0,7.366771676965598,4.16333270072937
146.0,2.0,25.30438113487739,4.277450323104858
147.0,2.0,3.054269797305429,4.152508020401001
148.0,2.0,6.723712838716975,4.252780199050903
149.0,2.0,1.5075258968281915,4.534332990646362
150.0,2.0,,1.8267853260040283
151.0,2.0,2.8285048502636014,4.254340171813965
152.0,2.0,2.090746099058597,4.4331581592559814
153.0,2.0,,2.079322576522827
154.0,2.0,9.284533267863855,4.356318235397339
155.0,2.0,33.95472305344595,4.134540557861328
156.0,2.0,16.63794316380762,4.968799591064453
157.0,2.0,79.24643012603875,4.395435810089111
158.0,2.0,7.200506027315309,4.674118757247925
159.0,2.0,44.43107055117626,4.417654752731323
160.0,2.0,55.47950758337036,4.504563808441162
161.0,2.0,164.54506583607028,4.908841133117676
162.0,2.0,139.16068175411857,4.6794469356536865
163.0,2.0,1251.0712000832827,4.233249664306641
164.0,2.0,15.073202455327337,4.6649489402771
165.0,2.0,229.74405374582514,5.60210919380188
166.0,2.0,217.30124067843812,4.6714768409729
167.0,2.0,100.96859290175729,4.675960540771484
168.0,2.0,,2.29721999168396
169.0,2.0,207.03981546840328,4.6150360107421875
170.0,2.0,,2.204129934310913
171.0,2.0,385.4259612824808,4.569918632507324
172.0,2.0,14270.019510164691,5.061281204223633
173.0,2.0,414.686185963145,4.873681306838989
174.0,2.0,521.9034257563725,5.470883846282959
175.0,2.0,222.28375602667845,4.668972730636597
176.0,2.0,346.0775560182606,5.105255842208862
177.0,2.0,396.53226996299213,4.942289113998413
178.0,2.0,,2.3697187900543213
179.0,2.0,195.499560909794,4.96510910987854
180.0,2.0,477.1361209339864,5.004084825515747
181.0,2.0,1.529468171936989e+139,2.3155405521392822
182.0,2.0,,2.3949801921844482
183.0,2.0,391.58787079026774,5.8352744579315186
184.0,2.0,297.329962216179,5.164809942245483
